SEGMENTATION_MARCHE,Client,18
C0754,Bassam Marché,Abidjan
C0755,Sikensi,Sikensi
C0756,Abobo Petit Marché,Abidjan
C0757,Marcory Zone 4,Abidjan
C0758,Adiake,Adiake
C0759,Bonoua,Bonoua
C0760,Bingerville,Abidjan
C0761,Adjame Forum,Abidjan
C0762,Bingerville,Abidjan 
C0763,Adjahui,Abidjan
C0764,Adjamé Forum,Abidjan 
C0765,Abobo Gd Mché,Abidjan 
C0766,Aboisso,Aboisso
C0769,,
C0770,Koumassi Gd Mosquée,Koumassi
C0771,Adiakè,Adiakè
C0772,Port Bouet Jean Folly,Abidjan 
C0773,Abobo Gd Mché,Abidjan 
C0774,,Abidjan
C0775,Yopougon Toit Rouge,Abidjan
C0776, Marcory Anoumabo Marché,Abidjan
C0777,Bonoua Gd Mché,Bonoua
C0778,Aboisso,Aboisso
C0780,Marché Poulet,Koumassi
C0781,Koumassi Pharmacie Soleil ,Abidjan
C0783,Divo,Divo
C0785,Adjouffou,Abidjan
C0786,Abobo Mché Botou,Abidjan 
C0789, Bonoua,Bonoua
C0790,Bonoua,Bonoua
C0792,Yopougon Mché Fêtai,Abidjan 
C0793,Port Bouet Gd Mché ,Abidjan 
C0794,Anoumabo,Abidjan
C0795,Treichville Gd Mché ,Abidjan 
C0796,Marcory Zone 4,Abidjan
C0797,Maféré,Aboisso
C0798,Yopougon Mché Bagnon,Abidjan 
C0799,Marcory zone 4,Abidjan
C0800,Koumassi Inchallah ,Abidjan
C0801,Mafère,Mafère
C0802,Adjamé Mché Gouro,Abidjan
C0803,Abobo PK 18,Abidjan 
C0804,Bouake,Bouake
C0805,Bonoua,Bonoua
C0806,Aboisso,Aboisso
C0807,Port de Pêche ,
C0809,Bonoua,Bonoua
C0810,Port bouet,Abidjan
C0811,Port de pêche,Abidjan
C0812,Koumassi quartier divo,Abidjan
C0813,Koumassi inchallah,Abidjan
C0815,Yopougon Académie ,Abidjan
C0816,Daloa,Daloa
C0817,Koumassi Grand Marché ,Abidjan
C0818,Dabou,Abidjan 
C0819,Yopougon Gesco,Abidjan
C0820,Marcory Gd Mché,Abidjan 
C0821,Yopougon Niangon,Abidjan 
C0822,Abidjan ,Abidjan
C0823,Aboisso,Aboisso
C0824,,
C0825,Yopougon Wasakara,Abidjan
C0826,Bingerville,Abidjan
C0827,Aboisso,Aboisso
C0828,Treichville marché,Abidjan
C0829,Koumassi campement,Abidjan
C0830,Adjame Forum,Abidjan
C0831,Adjame Forum,Abidjan
C0832,Bonoua,Bonoua
C0833,Yopougon Siporex,
C0834,Port Bouet Abattoirs,
C0835,Port Bouet Abattoir,Abidjan
C0836,Port Bouet Marché,Abidjan
C0837,Marcory Mché,Abidjan 
C0838,Marcory Grand Marché,Abidjan
C0839,Koumassi Campement,Abidjan
C0840,Port Bouet Mché ,Abidjan 
C0842,Yopougon Sideci,Abidjan
C0844,Yopougon Mossikro,Abidjan
C0845,Koumassi Sans Fils,
C0846,Aboisso,Aboisso
C0847,Agboville,Agboville
C0848,Gonzague ville,Abidjan
C0849,Adjouffou ,Abidjan
C0850,Koumassi marché,
C0851,Lakota,
C0852,Adjamé Forum,Abidjan 
C0853,Abobo Pk 18,Abidjan 
C0854,Akoupé,Akoupé
C0855,Adjamé St Michel,Abidjan
C0856,Koumassi Gd Mché,Abidjan
C0857,Adjame Adjame Marché Gouro,Abidjan
C0859,Alépé,Alépé
C0860,Koumassi Gd Mché,Abidjan 
C0861,Yopougon Siporex,Abidjan
C0862,2 Plateau Petit Marché,
C0863,Bonoua,Bonoua
C0864,Koumassi Campement,Abidjan 
C0866,Gagnoa,Gagnoa
C0867,Attecoube ,
C0868,Vridi Marché ,Abidjan 
C0869,Grand-Lahou,Grand-Lahou
C0871,Koumassi Gd Mché,Abidjan 
C0872,Adjawi,Abidjan 
C0873,Port Bouet,Abidjan 
C0875,Abobo Gd Mché,Abidjan
C0876,Yamoussokro ,Yamoussokro 
C0878,Jacqueville,Jacqueville
C0879,Aboisso ,Aboisso
C0880,Porte Bouet ,Abidjan 
C0882,Yopougon Wasakara,Abidjan
C0883,Bonoua,Bonoua
C0884,Gd Bassam ,Gd Bassam 
C0885,Grand Marché Marcory,Abidjan
C0886,Yopougon Ananaeraie,Abidjan
C0887,Treichville mché Belleville,Abidjan
C0888,Yopougon ,Abidjan 
C0889,,
C0890,Jacqueville,Jacqueville
C0891,Bingerville,Abidjan 
C0892,Adjamé Forum,Abidjan 
C0893,Abobo ,Abidjan 
C0894,Koumassi Blvd Gabon,Abidjan 
C0895,Dabou ,Abidjan 
C0896,Treichville Belle Ville,
C0897,Zone 4,Abidjan 
C0898,Aboisso,Aboisso
C0899,Houmé,Abidjan
C0901,Marché Anono,Abidjan
C0903,Marche Anono,Abidjan
C0905,Port Bouet,Abidjan
C0906,Assinie,Assinie
C0907,Abouaffle,Abouaffle
C0908,Port Bouet Marché ,Abidjan 
C0909,Yopougon Niangon ,Abidjan 
C0910,Marcory,Abidjan
C0911,Yaou,Yaou
C0912,Grand Bassam,Grand Bassam
C0913,Bonoua ,
C0914,Yopougon Niangon ,Abidjan 
C0915,yopougon Niangon,Abidjan 
C0916,Koumassi prodomo,Abidjan 
C0917,Yamoussoukro,Yamoussoukro
C0918,Mché Aboboté,Abidjan
C0919,Yopougon Port Bouet 2,Abidjan
C0920,Yopougon Port Bouet 2,Abidjan
C0921,Yopougon Koweit,Abidjan
C0922,Adjamé Mché Gouro(St Michel),Abidjan
C0923,Port Bouet Mché,Abidjan 
C0924,Port Bouet,Abidjan 
C0925,Gonzagueville,Abidjan
C0926,Koumassi Quartier Divo,Abidjan
C0927,Mché Sicogi,Abidjan
C0928,Gonzague ,ABIDJAN
C0929,Marché de Bonoua,Bonoua
C0930,Adzopé,Adzopé
C0931,Koumassi Quartier Divo,Abidjan
C0932,Yopougon Sicogi,Abidjan
C0933,Adjahui,Abidjan
C0934,Abobo Gd Mché,Abidjan 
C0935,Port Bouet 2 Yopougon,Abidjan
C0936,Marche de Bonoua,Bonoua
C0937,Assinie,Abidjan
C0938,Adjame Forum,Abidjan 
C0939,Ivoire Golf Club,Abidjan
C0940,Bonoua,Abidjan
C0941,Treichville Marche Belle Ville,Abidjan
C0942,Abobo Gd Mché ,Abidjan 
C0943,Abobo Gd Mché ,Abidjan 
C0944,Adjamé Banfora,Abidjan 
C0945,Abidjan,Abidjan
C0946,Abobo Grand Marché,Abidjan
C0947,Dabou Songon,Dabou
C0948,Akoupé Aferi,
C0949,Marché de Marcory,Abidjan
C0950,Dabou Marche,Dabou
C0951,mché Bonoua,Abidjan 
C0952,Yopougon Toit Rouge,Abidjan
C0953,Maféré,Maféré
C0954,Koumassi Campement,Abidjan
C0955,,
C0956,Marché de bonoua,
C0957,Bietry Zone 4,Abidjan
C0958,Yopougon,Abidjan 
C0959,Marcory Grande Mosquee,Abidjan
C0960,Port de Treichville ,Abidjan 
C0961,Grd marché bassam,
C0962,Daoukro,
C0963,Adjame Marche,Abidjan
C0964,Marcory Anoumabo,Abidjan
C0965,Toumodi,Toumodi
C0966,Akoupé,Akoupé 
C0967,Adjamé mché Gouro,Abidjan 
C0968,Gonzaque,Abidjan 
C0969,Marcory(zone4),Abidjan 
C0970,Aboisso,Aboisso
C0971,Yopougon Micao,Abidjan 
C0972,Bassam,Abidjan
C0973,Grd marché port-bouet,
C0974,Adzopé,Adzopé
C0975,Yopougon Marché Port Bouet 2 ,Abidjan
C0976,Gonzague Ville Marché,Abidjan 
C0977,Divo Grand Marché ,Divo
C0978,Divo Dialogue 2,Divo
C0979,Bingerville Nouvelle Gare ,Abidjan 
C0980,Yopougon Wassakara,Abidjan 
C0981,Les Exky,Abidjan 
C0982,Gd marché Divo,
C0983,Yopougon Maroc ,Abidjan
C0984,,
C0985,,
C0986,Grd marché krindjabo,Grd marché krindjabo
C0987,Port Bouet Marché ,Abidjan 
C0988,Marché Akouedo Attié,Abidjan
C0989,Treichville Marche,Abidjan
C0990,Port trechville,Abidjan
C0991,Bassam Petit Marché,Grand Bassam
C0992,Adjame Williams Ville ,Abidjan 
C0993,Yopougon,Abidjan 
C0994,Agbo Ville,Agbo Ville
C0995,Marcory Zone 4,Abidjan 
C0996,Adjamé Mché Gouro,Abidjan
C0997,Aboisso,Aboisso
C0998,Aboisso,Aboisso
C0999,Yopougon Gesco,Abidjan 
C1000,Marco Zone 4,Abidjan
C1001,Alepe Marché ,Alepe
C1002,Yopougon (Magasins),Abidjan 
C1003,Marché De Bonoua,Abidjan 
C1004,Marché d’abou,Dabou
C1005,Treichville Marché ,Abidjan 
C1006,Issia,Daloa
C1007,Gagnoa,Gagnoa
C1008,Port bouet,Abidjan 
C1009,Yopougon Andokoi ,Abidjan 
C1010,Dabou Grand Marche,Dabou
C1011,Marché Notre Dame Treichville,Abidjan 
C1013,Aboisso,Aboisso
C1014,Koumassi Camp Commando,Abidjan
C1015,Adjawi,Abidjan 
C1016,Grd marché (bonoua),Bonoua
C1017,Adjame Forum ,
C1018,Yamoussoukro,Yamoussoukro
C1019,Forum adjamé ,Abidjan 
C1020,TULIPE FOOD,
C1021,Bonoua,Abidjan
C1022,Gagnoa,Gagnoa
C1023,Divo,Divo
C1024,Koumassi,
C1025,Yopougon Siporex,Abidjan
C1026,Abobo ,Abidjan
C1027,Port de pêche,Abidjan 
C1029,Abidjan,Gonzague Ville
C1030,Abobo nvelle Gare,Abidjan
C1031,Adjamé,Abidjan 
C1032,Ayman atiekoi,Abidjan 
C1033,Angré,Abidjan
C1034,Bonoua,Bonoua
C1035,Abidjan,Treichville 
C1036,Koumassi bia sud,Abidjan 
C1037,Yamoussoukro ,Yamoussoukro 
C1038,Yopougon Sicogi,Abidjan
C1039,Treichville Grand Marche,Abidjan
C1040,Cocody les 2 plateaux,Abidjan
C1041,Abobo Marché ,Abidjan 
C1042,Zone 4 ,Abidjan
C1043,Adjame ,Abidjan 
C1044,Yopougon port-bouet 2,Abidjan
C1045,Koumassi Remblais,Abidjan
C1046,Koumassi 147,Abidjan 
C1047,Port Bouet ,Abidjan
C1048,Trechville Marché ,Abidjan 
C1049,Koumassi,Abidjan 
C1050,Port Bouet,
C1051,Adjame Marché ,Abidjan 
C1052,Bondoukou,Boudoukou
C1054,Abobo Gd mché,Abidjan 
C1055,Adjame makassi,Abidjan
C1056,Yopougon marche,Abidjan
C1057,Marché de Bonoua,Bonoua
C1058,Abobo Gd Mrché,Abidjan 
C1059,Marche koumassi,Abidjan
C1060,Maffere Marche,Maffere
C1061,Abobo marche akekoa,Abidjan
C1063,,Abidjan
C1064,Abidjan ,Yopougon 
C1065,Yopougon Maroc,Abidjan
C1066,Adjame grand marche,
C1067,Marche Jean Folly,Abidjan
C1068,Bassam,Abidjan
C1069,Bonoua,Bonoua
C1070,Yopougon Niangon ,Abidjan 
C1071,Marché Anani,Abidjan 
C1072,Abidjan,Abidjan 
C1073,Adjouffou Marché ,Abidjan
C1075,Treichville ,Abidjan
C1076,Yopougon Gesco,Abidjan
C1077,Akouedo Marché ,Abidjan 
C1078,Yopougon Wassakara ,Abidjan
C1079,Adjamé mché Gouro,Abidjan 
C1081,Belleville,Abidjan 
C1082,Adjouffou Marché ,Abidjan 
C1083,Adjame Marché ,Abidjan 
C1084,Maferi,Maferi
C1085,Adjamé Mché gouro,Abidjan 
C1086,Abobo sans manqué ,Abidjan 
C1087,Bouaké Gd Mché,Bouaké
C1088,Yopougon ,Abidjan
C1090,Grd Marché marcory ,Abidjan 
C1091,Yopougon Marché ,Abidjan
C1092,Aboisso Marché Koffikro,Aboisso
C1093,Adjame Marché ,Abidjan
C1094,Adjamé ,Marché gouro
C1095,Yopougon Niangon nord,Abidjan
C1096,Yopougon Marché ,Abidjan 
C1097,Marché Bingerville,Abidjan 
C1098,Treichville,Abidjan 
C1099,Anoumabo marché ,Abidjan 
C1100,Treichville ,Abidjan 
C1101,Bonoua,Abidjan 
C1102,Marché de Gonzague ,Abidjan 
C1103,Marché de bonoua,Bonoua
C1104,Port bouet ,Abidjan 
C1105,Marché de bonoua,Bonoua
C1106,Mché Abobo,Abidjan
C1107,Yopougon Sicogi,Abidjan
C1108,Gonzague ,Abidjan 
C1109,Port bouet ,Abidjan 
C1110,Port bouet,Abidjan 
C1111,Duekoue ,Duekoue
C1112,Marcory Sans Fil,Abidjan
C1113,Adjame,Abidjan 
C1114,Adjame Forum,Abidjan 
C1115,Zone 4,
C1116,Akressi,Aboisso
C1117,Yopougon,Abidjan 
C1118,Yopougon,Abidjan 
C1119,Marché Adjame ,Abidjan 
C1120,Marché Port bouet,Abidjan
C1121,Adjamé Mché Gouro,Abidjan
C1122,Koumassi,Abidjan
C1123,Marché Aboisso,Aboisso 
C1125,Anoumabo ,Abidjan
C1126,Marché Gesco,Abidjan 
C1130,Port Bouet,
C1131,Akoupe ,Akoupe
C1132,Marcory Gd Mché,
C1133,Marcory Sans Fil ,Abidjan 
C1134,Yopougon Marché ,Abidjan
C1135,,
C1136,Koumassi Gd Mché,Abidjan
C1137,Marché de treichville,Abidjan 
C1138,,
C1139,Zone 4,Abidjan 
C1140,Marché Adjawi ,Abidjan
C1141,Oume,Oume
C1142,Aboisso,
C1143,Bonoua,Bonoua
C1144,Marcory,Marché Marcory
C1145,Yopougon ,Abidjan 
C1146,Yopougon sicogi,Abidjan 
C1147,Gonzague Ville ,Abidjan 
C1148,Yopougon sicogi,Abidjan 
C1149,Aboisso ,Aboisso 
C1150,Mafere,Mafere
C1151,Aboisso,Aboisso 
C1153,Assinie,Abidjan
C1154,Yopougon sicogi,Abidjan 
C1155,Assinie,Assinie
C1156,Anoumanbo ,Abidjan
C1157,Cocody 2 plateaux,Abidjan
C1158,Marché djè konan,Abidjan 
C1159,Yopougon Siporex ,Abidjan 
C1160,Adjawi ,Abidjan 
C1161,Marche de marcory,Abidjan
C1162,Bietry,Abidjan
C1163,Port Bouet,Abidjan
C1164,Blolekin,Blolekin
C1165,Bonoua,
C1166,Yopougon ,Abidjan 
C1167,Koumassi ,Abidjan 
C1168,Adjamé Mché Gouro,Abidjan
C1169,Marché Gonzague,Abidjan
C1170,Bonoua,Abidjan 
C1171,Maffere ,
C1172,Treichville Marché ,Abidjan 
C1173,Ayaman,Abidjan 
C1174,Anoumabo,Abidjan
C1175,Port bouet ,Abidjan 
C1176,Marche Gouro,Abidjan 
C1178,Marché bingerville ,Bingerville 
C1179,Anoumanbo ,Abidjan
C1180,Marché Adjame,Abidjan
C1181,Adjame Marché ,Abidjan 
C1182,Bingerville ,Bingerville 
C1183,Prikro,Prikro
C1184,Marché Bingerville ,Abidjan 
C1186,Marché Vridi,Abidjan
C1187,Marché Alepe,Azopé
C1188,,
C1189,Prikor,Daoukro
C1190,Prikro,Daoukro
